# file...... outputFiles/triplex_meter:measured_power.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=triplex_meter
# property.. measured_power
# limit..... 0
# interval.. 60
# timestamp,triplex_meter_0,triplex_meter_1,triplex_meter_2,triplex_meter_3,triplex_meter_4,triplex_meter_5,triplex_meter_6,triplex_meter_7,triplex_meter_8,triplex_meter_9,triplex_meter_10,triplex_meter_11,triplex_meter_12,triplex_meter_13,triplex_meter_14,triplex_meter_15,triplex_meter_16,triplex_meter_17,triplex_meter_18,triplex_meter_19,triplex_meter_20,triplex_meter_21,triplex_meter_22,triplex_meter_23,triplex_meter_24,triplex_meter_25,triplex_meter_26,triplex_meter_27,triplex_meter_28,triplex_meter_29,triplex_meter_30,triplex_meter_31,triplex_meter_32,triplex_meter_33,triplex_meter_34,triplex_meter_35,triplex_meter_36,triplex_meter_37,triplex_meter_38,triplex_meter_39,triplex_meter_40,triplex_meter_41,triplex_meter_42,triplex_meter_43,triplex_meter_44,triplex_meter_45,triplex_meter_46,triplex_meter_47,triplex_meter_48,triplex_meter_49,triplex_meter_50,triplex_meter_51,triplex_meter_52,triplex_meter_53,triplex_meter_54,triplex_meter_55,triplex_meter_56,triplex_meter_57,triplex_meter_58,triplex_meter_59,triplex_meter_60,triplex_meter_61,triplex_meter_62,triplex_meter_63,triplex_meter_64,triplex_meter_65,triplex_meter_66,triplex_meter_67,triplex_meter_68,triplex_meter_69,triplex_meter_70,triplex_meter_71,triplex_meter_72,triplex_meter_73,triplex_meter_74,triplex_meter_75,triplex_meter_76,triplex_meter_77,triplex_meter_78,triplex_meter_79,triplex_meter_80,triplex_meter_81,triplex_meter_82,triplex_meter_83,triplex_meter_84,triplex_meter_85,triplex_meter_86,triplex_meter_87,triplex_meter_88,triplex_meter_89,triplex_meter_90,triplex_meter_91,triplex_meter_92,triplex_meter_93,triplex_meter_94,triplex_meter_95,triplex_meter_96,triplex_meter_97,triplex_meter_98,triplex_meter_99,triplex_meter_100
2013-07-01 04:26:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:27:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:28:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:29:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:30:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:31:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:32:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:33:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:34:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:35:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
2013-07-01 04:36:00 UTC,+191.333+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+200.846+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+195.64+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+193.104+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+200.212+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.485+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+198.739+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.9072+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+86.8492+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+87.1662+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+190.168+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+186.49+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+201.038+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+187.004+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d,+186.051+14.0699d
