# file...... outputFiles/transformer:power_in_C.csv
# date...... Mon Apr  4 09:07:19 2016
# user...... mlunacek
# host...... (null)
# group..... class=transformer
# property.. power_in_C
# limit..... 0
# interval.. 60
# timestamp,transformer_0,transformer_1,transformer_2,transformer_3,transformer_4,transformer_5,transformer_6,transformer_8,transformer_10,transformer_11,transformer_12,transformer_13,transformer_14,transformer_15,transformer_16,transformer_18,transformer_20
2013-07-01 04:14:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:15:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:16:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:17:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:18:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:19:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:20:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:21:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:22:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:23:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:24:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:25:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:26:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:27:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:28:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:29:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:30:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:31:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
2013-07-01 04:32:00 UTC,+97263.8+92279.8j,+0+0j,+1272.29+320.797j,+0+0j,+0+0j,+1313.9+331.368j,+0+0j,+0+0j,+0+0j,+0+0j,+593.63+152.199j,+0+0j,+0+0j,+1268.79+319.907j,+0+0j,+1272.29+320.797j,+1265.79+319.146j
